133,2021-05-30 09-22-10,824,232,720
134,2021-05-30 09-22-20,824,232,719
135,2021-05-30 09-22-30,824,232,719
136,2021-05-30 09-22-40,824,232,719
137,2021-05-30 09-22-50,824,232,719
138,2021-05-30 09-23-00,822,232,716
139,2021-05-30 09-23-10,823,232,717
140,2021-05-30 09-23-20,822,231,716
141,2021-05-30 09-23-30,819,231,712
142,2021-05-30 09-23-40,817,231,709
143,2021-05-30 09-23-50,817,231,709
144,2021-05-30 09-24-00,815,231,706
145,2021-05-30 09-24-10,813,231,703
146,2021-05-30 09-24-20,813,231,704
147,2021-05-30 09-24-30,813,231,703
148,2021-05-30 09-24-40,811,230,702
149,2021-05-30 09-24-50,813,230,704
150,2021-05-30 09-25-00,811,231,700
151,2021-05-30 09-25-10,812,231,700
152,2021-05-30 09-25-20,811,231,699
153,2021-05-30 09-25-30,809,231,696
154,2021-05-30 09-25-40,810,231,697
155,2021-05-30 09-25-50,812,231,699
156,2021-05-30 09-26-00,812,231,699
157,2021-05-30 09-26-10,812,231,699
158,2021-05-30 09-26-20,814,231,702
159,2021-05-30 09-26-30,815,230,703
160,2021-05-30 09-26-40,815,230,703
161,2021-05-30 09-26-50,815,230,703
162,2021-05-30 09-27-00,814,229,703
163,2021-05-30 09-27-10,813,228,702
164,2021-05-30 09-27-20,814,228,703
165,2021-05-30 09-27-30,814,228,703
166,2021-05-30 09-27-40,817,227,707
167,2021-05-30 09-27-50,818,227,708
168,2021-05-30 09-28-00,818,227,708
169,2021-05-30 09-28-10,819,227,709
170,2021-05-30 09-28-20,819,227,709
171,2021-05-30 09-28-30,820,228,709
172,2021-05-30 09-28-40,822,228,710
173,2021-05-30 09-28-50,822,228,710
174,2021-05-30 09-29-00,823,229,710
175,2021-05-30 09-29-10,825,230,711
176,2021-05-30 09-29-20,825,230,711
177,2021-05-30 09-29-30,828,230,714
178,2021-05-30 09-29-40,828,230,714
179,2021-05-30 09-29-50,829,229,716
180,2021-05-30 09-30-00,831,229,718
181,2021-05-30 09-30-10,831,228,718
182,2021-05-30 09-30-20,833,228,720
183,2021-05-30 09-30-30,834,228,721
184,2021-05-30 09-30-40,836,228,723
185,2021-05-30 09-30-50,839,228,727
186,2021-05-30 09-31-00,841,229,728
187,2021-05-30 09-31-10,844,229,731
188,2021-05-30 09-31-20,845,229,732
189,2021-05-30 09-31-30,847,230,734
190,2021-05-30 09-31-40,850,231,735
191,2021-05-30 09-31-50,852,232,736
192,2021-05-30 09-32-00,840,233,721
193,2021-05-30 09-32-10,831,233,710
194,2021-05-30 09-32-20,814,233,689
195,2021-05-30 09-32-30,819,234,693
196,2021-05-30 09-32-40,829,236,702
197,2021-05-30 09-32-50,850,239,724
198,2021-05-30 09-33-00,867,240,743
199,2021-05-30 09-33-10,863,236,742
200,2021-05-30 09-33-20,781,227,657
201,2021-05-30 09-33-30,723,217,599
202,2021-05-30 09-33-40,555,206,413
203,2021-05-30 09-33-50,688,209,567
204,2021-05-30 09-34-00,600,201,471
205,2021-05-30 09-34-10,673,203,555
206,2021-05-30 09-34-20,642,199,523
207,2021-05-30 09-34-30,635,198,516
208,2021-05-30 09-34-40,709,203,597
209,2021-05-30 09-34-50,811,208,711
210,2021-05-30 09-35-00,778,202,679
211,2021-05-30 09-35-10,645,187,539
212,2021-05-30 09-35-20,469,169,353
213,2021-05-30 09-35-30,438,166,320
214,2021-05-30 09-35-40,426,167,304
215,2021-05-30 09-35-50,577,181,466
216,2021-05-30 09-36-00,625,194,506
217,2021-05-30 09-36-10,763,208,652
218,2021-05-30 09-36-20,775,216,658
219,2021-05-30 09-36-30,808,223,687
220,2021-05-30 09-36-40,845,230,722
221,2021-05-30 09-36-50,857,233,733
222,2021-05-30 09-37-00,855,234,729
223,2021-05-30 09-37-10,854,234,727
224,2021-05-30 09-37-20,852,234,724
225,2021-05-30 09-37-30,851,234,722
226,2021-05-30 09-37-40,852,234,723
227,2021-05-30 09-37-50,851,234,722
228,2021-05-30 09-38-00,849,234,720
229,2021-05-30 09-38-10,850,234,721
230,2021-05-30 09-38-20,850,233,721
231,2021-05-30 09-38-30,849,233,720
232,2021-05-30 09-38-40,849,233,720
233,2021-05-30 09-38-50,852,233,724
234,2021-05-30 09-39-00,852,233,723
235,2021-05-30 09-39-10,852,232,724
236,2021-05-30 09-39-20,850,232,721
237,2021-05-30 09-39-30,848,232,719
238,2021-05-30 09-39-40,849,232,719
239,2021-05-30 09-39-50,849,232,719
240,2021-05-30 09-40-00,849,232,719
241,2021-05-30 09-40-10,849,232,719
242,2021-05-30 09-40-20,850,233,719
243,2021-05-30 09-40-30,851,233,719
244,2021-05-30 09-40-40,851,233,719
245,2021-05-30 09-40-50,849,234,715
246,2021-05-30 09-41-00,848,234,713
247,2021-05-30 09-41-10,849,235,714
248,2021-05-30 09-41-20,851,236,714
249,2021-05-30 09-41-30,846,237,707
250,2021-05-30 09-41-40,843,238,703
251,2021-05-30 09-41-50,841,238,699
252,2021-05-30 09-42-00,841,240,698
253,2021-05-30 09-42-10,840,240,696
254,2021-05-30 09-42-20,840,240,695
255,2021-05-30 09-42-30,837,241,691
256,2021-05-30 09-42-40,840,241,693
257,2021-05-30 09-42-50,840,242,692
258,2021-05-30 09-43-00,840,242,692
259,2021-05-30 09-43-10,838,243,689
260,2021-05-30 09-43-20,841,243,691
261,2021-05-30 09-43-30,840,244,689
262,2021-05-30 09-43-40,840,244,688
263,2021-05-30 09-43-50,841,245,689
264,2021-05-30 09-44-00,843,246,690
265,2021-05-30 09-44-10,844,247,689
266,2021-05-30 09-44-20,841,248,685
267,2021-05-30 09-44-30,844,248,687
268,2021-05-30 09-44-40,849,250,691
269,2021-05-30 09-44-50,851,251,692
270,2021-05-30 09-45-00,854,252,694
271,2021-05-30 09-45-10,857,253,695
272,2021-05-30 09-45-20,859,255,696
273,2021-05-30 09-45-30,860,256,696
274,2021-05-30 09-45-40,862,258,696
275,2021-05-30 09-45-50,866,260,698
276,2021-05-30 09-46-00,870,262,699
277,2021-05-30 09-46-10,873,265,699
278,2021-05-30 09-46-20,876,268,699
279,2021-05-30 09-46-30,880,272,699
280,2021-05-30 09-46-40,883,275,698
281,2021-05-30 09-46-50,888,280,698
282,2021-05-30 09-47-00,892,285,696
283,2021-05-30 09-47-10,896,291,694
284,2021-05-30 09-47-20,897,297,689
285,2021-05-30 09-47-30,901,303,686
286,2021-05-30 09-47-40,909,309,688
